"WEAPON","","INFO","","","","PREFERENCE","","","PERKS","","","ROLE / NOTES","ANALYSIS","","SOURCE",""
"","Adamantite (Episode: Heresy Variant)","Auto Rifle","Kinetic","Strand","Support Frame (Healing)","Hammer-forged
Smallbore
Corkscrew","Accurized
Tactical Mag","Range
Stability","Slice
Reciprocity","Elemental Honing
Kill Clip
Attrition Orbs
Frenzy","Willing Vessel
Runneth Over","Support Frame (Healing) Auto
Provides Unraveling Rounds via Support frame buff.
Weaker support options as Strand.
Weakest support auto.","","D","Xur","No"
"","Krait","Auto Rifle","Kinetic","Stasis","Rapid-Fire","Hammer-Forged
Smallbore
Fullbore
Corkscrew","Ricochet
High-Caliber
Armor Piercing","Range
Stability","Overflow","Headstone
Moving Target
Vorpal Weapon","Veist Stinger","Good frame, bad perks.
Non-tiered, non-enhanceable.
Headstone res block.
Vorpal vs. Supers.","","F","Gunsmith Legacy Focusing","No"
"","Ros Arago IV","Auto Rifle","Energy","Void","Adaptive","Hammer-Forged
Smallbore
Fullbore
Corkscrew","Accurized","Range
Stability","Dynamic Sway Reduction
Repulsor Brace","Golden Tricorn
Onslaught
Surrounded
Under-Over","Wild Card","Good frame, decent perks.
Void flavored Summoner.
Wild Card for res block/AoE.","","B","Gunsmith Legacy Focusing","No"
"","Eidolon Ally","Auto Rifle","Kinetic","Kinetic","Rapid-Fire","Arrowhead","Ricochet","Range
Stability","Rangefinder","Perpetual Motion","Cursed Thrall","Curated roll.
Weak Column 2 perk and very low base stats.","","F","Crota's End Raid / Necrochasm Exotic Weapon Quest","No"
"","The Summoner (Season of the Wish Variant)","Auto Rifle","Energy","Solar","Adaptive","Hammer-Forged
Smallbore
Fullbore
Corkscrew","Ricochet
High-Caliber
Armor Piercing","Range
Stability","Zen Moment
Dynamic Sway Reduction
Elemental Capacitor","Golden Tricorn
Kill Clip
Onslaught
Target Lock","Wild Card
Alacrity
One Quiet Moment
","Good frame, good perks.
Good origins.
Wild Card res blocks/AoE.
Golden Tricorn unique to this variant, and is very powerful with Solar Builds particularly.
Enhanceable, not tiered.","","A","Unobtainable (Previously Trials of Osiris / Possibly Xur now??)","No"
"","Chrysura Melo (Season of the Lost)","Auto Rifle","Energy","Solar","High-Impact","Arrowhead
Chambered 
Corkscrew","Accurized","Range
Stability","Dynamic Sway Reduction
Encore","Multikill Clip
Harmony
Frenzy","None","Good frame, mid perks.
Powercrept. No Origin.","","C","Xur / Dares of Eternity Loot Pool","No"
"","Husk of the Pit","Auto Rifle","Kinetic","Kinetic","Rapid-Fire","Arrowhead","None","None","None","None","None","""The Pit hungers...""
Turbo terrible super mega giga bad. 
Only use this for memes.","","F","Crota's End Raid / Necrochasm Exotic Weapon Quest","No"
"","Ghost Primus","Auto Rifle","Kinetic","Kinetic","Adaptive","Arrowhead
Corkscrew
Fluted","None","Range
Stability","High-Impact Reserves
Ambitious Assassin","Under Pressure","None","Curated roll.
Non-tiered, non-enhanceable. No origin.
Powercrept massively but still usable.","","D","Unobtainable (Previously Leviathan Raid)","No"
"","A Good Shout","Bow","Heavy","Void","High-Impact","Mag-Lev Rail
Empowered Rail","Charged Bolts
Heavy Bolts
Explosive Bolts","Velocity
Persistence","Withing Gaze
No Distractions
Built To Blast","Butterfly
Rampage
Box Breathing","Vanguard Determination
Accelerated Assault
Problem Solver","Withering Gaze.
Rampage x2 = 1HKO Body Shot.
Box Breathing vs. Supers","","C","Tenet of Bravery","No"
"","Opaque Hourglass","Bow","Heavy","Arc","High-Impact","Mag-Lev Rail
Empowered Rail","Charged Bolts
Heavy Bolts
Explosive Bolts","Velocity
Persistence","Impulse Amplifier
Firefly","Elemental Honing
Dragonfly
Master of Arms
Vorpal Weapon","Frame of Reference","Ele Honing x3 or MoA x2 = 1HKO Body Shot
Double AoE perks.
Vorpal vs. Supers","","S","Desert Perpetual Raid","No"
"","Point of the Stag","Bow","Energy","Arc","Precision","Elastic String
Polymer String
Flexible String","Compact Arrow
Straight Fletching
Fiberglass Arrow","Draw Time
Reload Speed
Accuracy","Archer's Tempo
Hipfire Grip
Rangefinder","Vorpal Weapon
Archer's Gambit
Swashbuckler","Skulking Wolf","Skulking Wolf bow.
Vorpal Weapon
Hipfire Bow","","S","Iron Banner / Saladin Vendor","No"
"","Submersion","Bow","Heavy","Stasis","High-Impact","Mag-Lev Rail
Empowered Rail","Charged Bolts
Heavy Bolts
Explosive Bolts","Velocity
Persistence","Impulse Amplifier
No Distractions","Headstone
Chill Clip","Contender Cascade","Headstone res block.
Origin provides Handling/Reload & AoE explosions after reaching high stacks.","","A","Tenet of Bravery","No"
"","Vengeful Whisper","Bow","Kinetic","Strand","Precision","Elastic String
Polymer String
Flexible String","Compact Arrow
Straight Fletching
Fiberglass Arrow","Draw Time
Reload Speed
Accuracy","Archer's Tempo
Hipfire Grip
Slice
Explosive Head","Archer's Gambit
Meganeura
Succesful Warmup","Sundering","""Hynra CAN fly.""
Double draw time perks, Origin provides reload speed on shield break.
Double hipfire perks for RDM exotics hipfire builds.
Slice. 
Explosive Head & Meganeura for AoE.","","S","Warlord's Ruin Dungeon","No"
"","The Spiteful Fang","Bow","Kinetic","Stasis","Lightweight","Elastic String
Polymer String
Flexible String","Compact Arrow
Straight Fletching
Fiberglass Arrow","Draw Time
Reload Speed
Accuracy","Archer's Tempo
Impulse Amplifier
Headstone","Archer's Gambit
Frenzy
Golden Tricorn
Firefly
Explosive Head","Forge's Kin","Lightweight/Movement.
Bad frame, great perks.
Double draw time perks. Origin provides reload speed on kill.
Headstone res block.
Headstone + Firefly for LARGE AoE on precision kill.
Impulse Amplifier increases arrow velocity to near hit-scan.
Can 2Body KO w/ Golden Tricorn x2","","A","Arena Ops / Zavala Vendor","No"
"","Convened Recurve","Bow","Energy","Void","High-Impact Longbow","Elastic String
Polymer String
Flexible String","Compact Arrow
Straight Fletching
Fiberglass Arrow","Draw Time
Reload Speed
Accuracy","Withering Gaze
Moving Target
Dimension Shift","Aggregate Charge
Butterfly
Snapshot Sights","Vanguard Determination","High-Impact Longbow. Instrinsically pierces targets.
Weak frame for PvP.
Mid perks, with the exception of Withering Gaze.
Withering for Team Play/Clean up swaps.","","C","Vanguard / Fireteam Ops / Zavala Vendor","No"
"","Biting Winds","Bow","Kinetic","Kinetic","Precision","Elastic String
Polymer String
Flexible String","Compact Arrow
Straight Fletching
Fiberglass Arrow","Draw Time
Reload Speed
Accuracy","Archer's Tempo
Rapid Hit
Quickdraw","Kinetic Tremors
All-Star
Explosive Head","Winterized Gear","Kinetic Tremors guantees kill on 2-body shot.
All-Star improves damage & reload speed on ammo pickup.
Strong Origin trait.","","S","Europa Destination","No"
"","Hush","Bow","Energy","Solar","Precision","Elastic String
Polymer String
Flexible String","Compact Arrow
Straight Fletching
Fiberglass Arrow","Draw Time
Reload Speed
Accuracy","Archer's Tempo
Hipfire Grip
Opening Shot
Firefly","Archer's Gambit
Meganeura
Dragonfly
Incandescent
Vorpal Weapon","Gun and Run","TRIPLE Draw time perks.
Tempo+Gambit+Origin.
Double hipfire perks for RDM exotics gameplay.
Vorpal vs. supers.
Double AoE perks for LARGE AoE on precision kills.","","S","Gambit / Drifter Vendor","No"
"","King Orfeo","Bow","Energy","Arc","Precision","Elastic String
Polymer String
Flexible String","Compact Arrow
Straight Fletching
Fiberglass Arrow","Draw Time
Reload Speed
Accuracy","Archer's Tempo
Impulse Amplifier
Explosive Head","Rangefinder
Meganeura
Swashbuckler
Dragonfly","Nail, Meet Hammer","Double velocity perks.
Impulse Amplifier / Rangefinder increases arrow velocity to near hit-scan.","","A","Tenet of Bravery","No"
"","Hushed Whisper","Bow","Kinetic","Strand","Precision","Elastic String
Polymer String
Flexible String","Compact Arrow
Straight Fletching
Fiberglass Arrow","Draw Time
Reload Speed
Accuracy","Impulse Amplifier
Lone Wolf
Slice","Archer's Gambit
Aggregate Charge
Explosive Head","Wild Card
Search Party","Impulse Amplifier increases arrow velocity to near hit-scan.
Wild Card provides res prevention/AoE.
Lone Wolf for AE.","","A","Tenet of Bravery","No"
"","Pre Astyanax IV","Bow","Energy","Solar","Precision","Elastic String
Polymer String
Flexible String","Compact Arrow
Straight Fletching
Fiberglass Arrow","Draw Time
Reload Speed
Accuracy","Impulse Amplifier
Firefly
Successful Warmup","Explosive Head
Swashbuckler
Binary Orbit","Wild Card
Vanguard Determination
Problem Solver","Impulse Amplifier increases arrow velocity to near hit-scan.
Wild Card provides res prevention/AoE.","","B","Tenet of Bravery","No"
"","Fortunate Star","Bow","Energy","Void","Lightweight","Elastic String
Polymer String
Flexible String","Compact Arrow
Straight Fletching
Fiberglass Arrow","Draw Time
Reload Speed
Accuracy","Archer's Tempo
Successful Warmup
Dragonfly","Archer's Gambit
Eye of the Storm
Explosive Head","Dream Work
Veist Stinger","Lightweight/Movement.
Mid frame, great perks.
TRIPLE Draw Time perks.
Tempo+Gambit+Origin.
1 of 2 remaining Eye of the Storm bows.
","","A","Tenet of Bravery","No"
"","Mercury-A","Bow","Kinetic","Kinetic","High-Impact Longbow","Elastic String
Polymer String
Flexible String","Compact Arrow
Straight Fletching
Fiberglass Arrow","Draw Time
Reload Speed
Accuracy","Successful Warmup
Rapid Hit
Built to Blast","Kinetic Tremors
Elemental Honing
Adrenaline Junkie","Tenacity
Vanguard Determination
Hakke Breach Armaments","High-Impact Longbow. Instrinsically pierces targets.
Bad frame, bad perks.","","D","Tenet of Bravery","No"
"","Whispering Slab","Bow","Kinetic","Kinetic","Lightweight","Elastic String
Polymer String
Flexible String","Compact Arrow
Straight Fletching
Fiberglass Arrow","Draw Time
Reload Speed
Accuracy","Archer's Tempo
Lone Wolf
Hipfire Grip","Opening Shot
Swashbuckler
Vorpal Weapon","Paracausal Fluid","Lightweight/Movement.
Mid frame, mid perks.
Vorpal vs. Supers","","C","Xur","No"
"","Anamnesis","Bow","Energy","Void","Lightweight","Elastic String
Polymer String
Flexible String","Compact Arrow
Straight Fletching
Fiberglass Arrow","Draw Time
Reload Speed
Accuracy","Archer's Tempo
Hipfire Grip
Dragonfly","Impulse Amplifier
Explosive Head
Moving Target","Runneth Over
Willing Vessel","Lightweight/Movement.
Mid frame, good perks.
Impulse increase arrow velocity to near hitscan.","","B","Xur","No"
"","Non-Denouement","Bow","Energy","Arc","Precision","Elastic String
Polymer String
Flexible String","Compact Arrow
Straight Fletching
Fiberglass Arrow","Draw Time
Reload Speed
Accuracy","Archer's Tempo
Impulse Amplifier
Hipfire Grip
Opening Shot
Dragonfly","Archer's Gambit
Gear Shift
Moving Target
Meganeura
Chaos Reshaped
Explosive Head
Voltshot","Collective Purpose","TRIPLE Draw time perks.
Tempo+Gambit+Origin.
Double hipfire perks for RDM exotics gameplay.
Gear Shift & Chaos Reshaped for neutral damage buffs.
Double AoE perks for large AoE on Precision kills.
Trinity Ghoul at home","","S","Salvation's Edge Raid","Yes"
"","Neoptolemus II","Bow","Kinetic","Kinetic","Precision","Elastic String
Polymer String
Flexible String","Compact Arrow
Straight Fletching
Fiberglass Arrow","Draw Time
Reload Speed
Accuracy","Rangefinder
To The Pain","Lone Wolf
Sneak Bow
Vorpal Weapon","Wild Card","Overall mid perks.","","C","Gunsmith Legacy Focusing","No"
"","Tyranny of Heaven","Bow","Energy","Solar","Lightweight","Elastic String
Polymer String
Flexible String","Compact Arrow
Straight Fletching
Fiberglass Arrow","Draw Time
Reload Speed
Accuracy","Archer's Tempo
Meganeura
Moving Target
Explosive Head","Archer's Gambit
Swashbuckler
Golden Tricorn
Incandescent","Explosive Pact","Lightweight/Movement.
Double draw time perks.
Origin trait provides stability & reload speed.
Meganeura + Incandescent for AoE/DoT.
Can 2Body KO w/ Golden Tricorn x2","","A","Last Wish Raid","Yes"
"","Raconteur","Bow","Kinetic","Stasis","Precision","Elastic String
Polymer String
Flexible String","Compact Arrow
Straight Fletching
Fiberglass Arrow","Draw Time
Reload Speed
Accuracy","Archer's Tempo","Eye of the Storm
Headstone
Successful Warmup
Explosive Head","Noble Deeds","Headstone res block.
1 of 2 current Eye of the Storm bows.
Origin provides reload speed & handling.","","B","//node.ovrd.AVALON//
Legacy Loot
Classic Collections Modifier: ON","Yes"
"","Tripwire Canary","Bow","Energy","Arc","Lightweight","Elastic String
Polymer String
Flexible String","Compact Arrow
Straight Fletching
Fiberglass Arrow","Draw Time
Reload Speed
Accuracy","Archer's Tempo
Sneak Bow
Dragonfly
Rapid Hit","Opening Shot
Successful Warmup
Swashbuckler
Frenzy
Explosive Head
Under-Over","Ambush
Veist Stinger","Lightweight/Movement.
Mid frame, decent perks.
Under-Over vs. Overshields","","B","Operation: Seraph's Shield Legacy Loot
Modifier Classic Collections: ON","Yes"
"","Whistler's Whim","Bow","Kinetic","Kinetic","Lightweight","Elastic String
Polymer String
Flexible String","Compact Arrow
Straight Fletching
Fiberglass Arrow","Draw Time
Reload Speed
Accuracy","Rangefinder
Moving Target
Thresh
Cornered","Archer's Tempo
Opening Shot
Kill Clip","Alacrity
Veist Stinger
One Quiet Moment","Lightweight/Movement.
Mid frame, mid perks.","","C","Xur (Trials previously)","No"
"","Accrued Redemption","Bow","Kinetic","Kinetic","Precision","Elastic String
Polymer String
Flexible String","Compact Arrow
Straight Fletching
Fiberglass Arrow","Draw Time
Reload Speed
Accuracy","Archer's Tempo
Impulse Amplifier
Offhand Strike","Archer's Gambit
Kinetic Tremors
Lone Wolf
Swashbuckler
Adrenaline Junkie
Explosive Head","Photoinhibition","Good frame, good perks.
Double Draw time perks.
Double Hipfire perks for RDM exotic play style.
Lone Wolf for AE.
Origin punishes overshields & woven mail passively.","","S","Garden of Salvation Raid","Yes"
"","Fel Taradiddle","Bow","Kinetic","Kinetic","Lightweight","Elastic String
Polymer String
Flexible String","Compact Arrow
Straight Fletching
Fiberglass Arrow","Draw Time
Reload Speed
Accuracy","Archer's Tempo
Impulse Amplifier
Rangefinder","Successful Warmup
Cornered
Adhesive Ordnance
Thresh","Psychohack","Lightweight/Movement.
Mid frame, decent perks.
Only Adhesive Ordnance bow.
Origin basically never activates in PvP scenarios.","","C","Throne World Destination","Yes"
"","Wolftone Draw","Bow","Energy","Arc","Precision","Elastic String
Polymer String
Flexible String","Compact Arrow
Straight Fletching
Fiberglass Arrow","Draw Time
Reload Speed
Accuracy","Archer's Tempo
Impulse Amplifier
Sneak Bow","Frenzy
Harmony
Dragonfly
Cornered","None","Good frame, mid Column 2 perks.
No origin.","","C","Xur","No"
"","Imperial Needle","Bow","Energy","Void","Lightweight","Elastic String
Polymer String
Flexible String","Compact Arrow
Straight Fletching
Fiberglass Arrow","Draw Time
Reload Speed
Accuracy","Archer's Tempo
Impulse Amplifier
Hipfire Grip
Sneak Bow","Opening Shot
Frenzy
Swashbuckler
Thresh","None","Lightweight/Movement.
Mid frame, mid Column 2 perks.
No origin.","","D","Vox Obscura
Legacy Loot
Classic Collections Modifier: ON","No"
"","Under Your Skin","Bow","Energy","Void","Precision","Elastic String
Polymer String
Flexible String","Compact Arrow
Straight Fletching
Fiberglass Arrow","Draw Time
Reload Speed
Accuracy","Archer's Tempo
Hipfire Grip
Perpetual Motion","Opening Shot
Successful Warmup
Dragonfly
Explosive Head","Land Tank","Good Column 1 perks, mid column 2 perks.
Good origin. Grants +10 health stat for 5s on kill, stacking up to x3.","","B","Vox Obscura
Legacy Loot
Classic Collections Modifier: ON","Yes"
"","Subtle Calamity","Bow","Energy","Void","Precision","Elastic String
Polymer String
Flexible String","Compact Arrow
Straight Fletching
Fiberglass Arrow","Draw Time
Reload Speed
Accuracy","Hipfire Grip
Moving Target
Dragonfly","Archer's Tempo
Sneak Bow
Explosive Head","None","Decent bow but significantly power crept. 
No origin trait.","","D","Unobtainable (Possibly Xur??)","No"
"","Strident Whistle","Bow","Energy","Solar","Precision","Elastic String
Polymer String
Flexible String","Compact Arrow
Straight Fletching
Fiberglass Arrow","Draw Time
Reload Speed
Accuracy","Archer's Tempo
Rangefinder
Moving Target","Successful Warmup
Opening Shot
Cornered
Harmony
Vorpal Weapon
Explosive Head","Vanguard's Vindication","Decent bow but significantly power crept.
Origin provides instant 10HP on weapon kill.
Vorpal vs. Supers.","","C","Zavala Vendor / Xur","No"
"","Arsenic Bite-4B","Bow","Energy","Arc","Lightweight","Elastic String
Polymer String
Flexible String","Compact Arrow
Straight Fletching
Fiberglass Arrow","Draw Time
Reload Speed
Accuracy","Hipfire Grip
Moving Target
Dragonfly","Archer's Tempo
Explosive Head
Sneak Bow","None","Lightweight/Movement.
Bad frame, decent perks.
Powercrept. No origin trait.","","D","Xur","No"
"","No Turning Back","Bow","Kinetic","Kinetic","Precision","High-Tension Bowstring","Fiberglass","Draw Time
Reload Speed
Accuracy","Explosive Head
Snapshot Sights","Hipfire Grip","None","Curated roll.
Mid bowstring & columns 1/2 perks.
Powercrept.","","D","Unobtainable (Previously World Drop)","No"
"","The Vow","Bow","Energy","Solar","Lightweight","Polymer String","Natural Fletching","Draw Time","Rapid Hit","Archer's Tempo","None","Lightweight/Movement.
Curated Roll.
Bad frame, mid magazine & mid Column 1 perk.
Power crept. No origin trait.","","D","Unobtainable (Previously Crimson Days Event)","No"
"","Lethophobia","Bow","Energy","Void","Lightweight","Elastic String
Polymer String
Flexible String","Compact Arrow
Straight Fletching
Fiberglass Arrow","Draw Time
Reload Speed
Accuracy","Impulse Amplifier
Successful Warmup
Enlightened Action","Disruption Break
Golden Tricorn
Surrounded
Explosive Head","Dragon's Vengeance","Lightweight/Movement.
Mid frame, good perks but no innate draw-time perks.
Impulse increases arrow velocity to near hit-scan.
Disruption Break for team play/clean ups.
Good origin trait.
Can 2Body KO w/ Golden Tricorn x2","","B","Starcrossed Legacy Loot
Modifier Classic Collector: ON","Yes"
